name,description,cost,formPDFlocation,block,linked,supervisor,secretary,presenter,room,capacity,buffer
The Learning Partnership - Entrepreneurial Adventure Program,Interested in finding out more information on two student programs run in Ottawa- the Entrepreneurial Adventure and Global Solutions?  Find out about the career app Real Talk created by The Learning Partnership.  Learn about non-profit organizations and what kinds of careers they offer.,0,,3,,Jen Stewart,,Betty Weil,Room 218,30,2
Total Conditioning Barre Class,This is a fitness/conditioning class that uses the ballet barre and free weights to complete a total body workout.  It does not require any dance training.  You require comfortable workout clothes and bare feet.  This session is available to female students only.,0,,1,,,,Gail Pindar,Dance Studio,14,2
Video Production,Want to know more about what it takes to make a film? Join this session to learn how to use production tools such as editing software and green screens to capture and enhance those memorable moments.,0,,1,,Tracie Langford/Jonida Rizvanolli,,Ali Hassani,Room 132,25,2
Video Production,Want to know more about what it takes to make a film? Join this session to learn how to use production tools such as editing software and green screens to capture and enhance those memorable moments.,0,,3,,Tracie Langford/Jonida Rizvanolli,,Ali Hassani,Room 132,25,2
Vocal Music,"Do you like to sing? In this workshop you will learn the basic skills to singing including: warming up the voice, harmonizing, as well as career and extra-curricular opportunities. Join in the fun and gain some vocal skills!",0,,3,,,,Sarah Booth,Music Room,30,2
What is engineering?,Do you like problem solving? What about tinkering? Find out what engineering is all about and how it differs from science in this hands-on workshop! We will explore the various types of engineering as well as how engineering can be used to solve real-world problems.,0,,2,,Carmel Dickson-Rothwell,,Pam Lee-Shanok,Room 228,25,2
Women in Engineering,"Creativity, innovation, collaboration: Some of the reasons why you should consider studying engineering. This fun, hands-on workshop (run by a female engineering graduate) explores the following questions: What is engineering anyway? Why is there an under-representation of women in engineering? How can I get involved in engineering as a high school student?  This session is available to female students only.",0,,1,,Carmel Dickson-Rothwell,,Pam Lee-Shanok,Room 228,25,2
Women in the Trades,Women in the Trades: Are you a female interested in a Career in the trades?   In this session females will have the opportunity to ask questions and explore a careers in the trades.  FEMALE ONLY Session,0,,3,,Jen Stewart,,"Toromont, Careers in the Construction Industry, ",Room 115,30,2
World of Policing ,"Are you up for the job?  Learn about the many avenues of policing from patrol, emergency response to traffic specialists to major crime investigators to marine, dive and trail units.  Maybe you prefer to rappel off a building or live with your canine partner?  There are many options in the rewarding career of policing.  ",0,,1,,Carmel Dickson-Rothwell,,Cindy Cybulski,Room 230,30,2
World of Policing ,"Are you up for the job?  Learn about the many avenues of policing from patrol, emergency response to traffic specialists to major crime investigators to marine, dive and trail units.  Maybe you prefer to rappel off a building or live with your canine partner?  There are many options in the rewarding career of policing.  ",0,,2,,Carmel Dickson-Rothwell,,Cindy Cybulski,Room 230,30,2
World of Policing ,"Are you up for the job?  Learn about the many avenues of policing from patrol, emergency response to traffic specialists to major crime investigators to marine, dive and trail units.  Maybe you prefer to rappel off a building or live with your canine partner?  There are many options in the rewarding career of policing.  ",0,,3,,Carmel Dickson-Rothwell,,Cindy Cybulski,Room 230,30,2
Yoga,"Looking to relax and find inner peace?  Join Ms. Stuyt for an hour of gentle stretching and yoga. Wear comfortable clothes and bring a water bottle.  Yoga mats are available, but feel free to bring your own.",0,,2,,,,Amanda Stuyt,Dance Studio,20,2
Yoga ,"Looking to relax and find inner peace?  Join Ms. Stuyt for an hour of gentle stretching and yoga. Wear comfortable clothes and bring a water bottle.  Yoga mats are available, but feel free to bring your own.",0,,1,,,,Amanda Stuyt,Big Gym,40,2
Yoga with Yogatown Instructor,"End your day with a hour of yoga!  Kerry Lundy is a RYT 200 Yoga Alliance Certified and has obtained her ChildrenÕs Teacher Training through Little Feet Yoga. Kerry has run Partner Yoga workshops, Mindful Empowerment summer camps to teen girls, taught yoga to young children and has also been involved in teaching yoga to children with ASD. Kerry has also taken several workshops on working with Yoga for Anxiety and Depression.  Wear comfortable clothing and bring a yoga mat if you have one.",0,,3,,Jen Stewart,,Kerry Lundy,Dance Studio,20,2
